count(*),copyrightText,creativecommons
1608,"public domain",NULL
471,"Chicago Botanic Garden 2009",
12966,"(c) 2010 Steven J. Baskauf","<a href=""http://creativecommons.org/licenses/by-nc-sa/3.0/"" rel=""license""> <img src=""http://i.creativecommons.org/l/by-nc-sa/3.0/88x31.png"" style=""border-width: 0pt;"" alt=""Creative Commons License""/> </a>"
44,"Giuseppe Turrisi 2010","<a href=""http://creativecommons.org/licenses/by-nc-sa/3.0/us/"" rel=""license"">
<img src=""http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png"" style=""border-width: 0pt;"" alt=""Creative Commons License""/>
</a>"
727,"Tall Timbers 2011","<a href=""http://creativecommons.org/licenses/by-nc-sa/3.0/us/"" rel=""license"">
<img src=""http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png"" style=""border-width: 0pt;"" alt=""Creative Commons License""/></a>"
129847,,"<a href=""http://creativecommons.org/licenses/by-nc-sa/3.0/us/"" rel=""license"">
<img src=""http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png"" style=""border-width: 0pt;"" alt=""Creative Commons License""/>
</a>"
171,"(c) 2010 Steven J. Baskauf","<a href=""http://creativecommons.org/licenses/by-nc-sa/3.0/us/"" rel=""license""> <img src=""http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png"" style=""border-width: 0pt;"" alt=""Creative Commons License""/> </a>"
6519,"Tall Timbers 2011","<a href=""http://creativecommons.org/licenses/by-nc-sa/3.0/us/"" rel=""license""> <img src=""http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png"" style=""border-width: 0pt;"" alt=""Creative Commons License""/></a>"
107885,"Charles Griswold","<a href=""http://creativecommons.org/licenses/by-nc-sa/3.0/us/"" rel=""license""><img src=""http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png"" style=""border-width: 0pt;"" alt=""Creative Commons License""/></a>"
3,"(c) 2005 Ron E. VanNimwegen","<a href=""http://creativecommons.org/licenses/by/3.0/"" rel=""license""> <img src=""http://i.creativecommons.org/l/by/3.0/88x31.png"" style=""border-width: 0pt;"" alt=""Creative Commons License""/> </a>"
1,"Queensland Museum","<a rel=""license"" href=""http://creativecommons.org/licenses/by-nc-sa/3.0/"">
<img alt=""Creative Commons License"" style=""border-width:0"" src=""http://i.creativecommons.org/l/by-nc-sa/3.0/88x31.png"" />
</a><br />This work is licensed under a <a rel=""license"" href=""http://creativecommons.org/licenses/by-nc-sa/3.0/"">Creative Commons Attribution-ShareAlike-Non Commercial
3.0 Unported License</a>."
1,"University of Southern Mississippi 2011","<a rel=""license"" href=""http://creativecommons.org/licenses/by-nc-sa/3.0/""><img alt=""Creative Commons License"" style=""border-width:0"" src=""http://i.creativecommons.org/l/by-nc-sa/3.0/88x31.png"" /></a><br />This work is licensed under a <a rel=""license"" href=""http://creativecommons.org/licenses/by-nc-sa/3.0/"">Creative Commons Attribution-ShareAlike 3.0 Unported License</a>."
