Kingdom,Subkingdom,Phylum,Subphylum,Superclass,Class,Subclass,Infraclass,Superorder,Order,Suborder,InfraOrder,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Section,Subsection,Species,Subspecies,Variety,Subvariety,Form,Subform,comments,scientificName,taxon_author,nameType,usage,nameSource,url,Group,User
Animalia,,Mollusca,,,Bivalvia,Heterodonta,,Archiheterodonta,,,,Crassatelloidea,Astartidae,,,,Astarte,,,,acuticostata,,,,,,"Source of name, ITIS, 2000",Astarte acuticostata,"(Jeffreys, 1869)",Regular scientific name,not public,SBMNH,http://sbcollections.org/iz/search_advanced.php,195641,195640
Animalia,,Mollusca,,,Bivalvia,Heterodonta,,Archiheterodonta,,,,Crassatelloidea,Astartidae,,,,Astarte,,,,arctica,,,,,,"Source of name, Coan et al. 2000",Astarte arctica,"(J. E. Gray, 1824)",Regular scientific name,not public,SBMNH,http://sbcollections.org/iz/search_advanced.php,,
Animalia,,Mollusca,,,Bivalvia,Heterodonta,,Archiheterodonta,,,,Crassatelloidea,Astartidae,,,,Astarte,,,,borealis,,,,,,"Source of name, Coan et al. 2000",Astarte borealis,"(Schumacher, 1817)",Regular scientific name,not public,SBMNH,http://sbcollections.org/iz/search_advanced.php,,
Animalia,,Mollusca,,,Bivalvia,Heterodonta,,Archiheterodonta,,,,Crassatelloidea,Astartidae,,,,Astarte,,,,castanea,,,,,,"Source of name, ITIS, 2000",Astarte castanea,"(Say, 1822)",Regular scientific name,not public,SBMNH,http://sbcollections.org/iz/search_advanced.php,,
Animalia,,Mollusca,,,Bivalvia,Heterodonta,,Archiheterodonta,,,,Crassatelloidea,Astartidae,,,,Astarte,,,,compacta,,,,,,"Source of name, Coan et al. 2000",Astarte compacta,"Carpenter, 1864",Regular scientific name,not public,SBMNH,http://sbcollections.org/iz/search_advanced.php,,
Animalia,,Mollusca,,,Bivalvia,Heterodonta,,Archiheterodonta,,,,Crassatelloidea,Astartidae,,,,Astarte,,,,crebricostata,,,,,,"Source of name, ITIS, 2000",Astarte crebricostata,"(Da Costa, 1778)",Regular scientific name,not public,SBMNH,http://sbcollections.org/iz/search_advanced.php,,
Animalia,,Mollusca,,,Bivalvia,Heterodonta,,Archiheterodonta,,,,Crassatelloidea,Astartidae,,,,Astarte,,,,crenata,,,,,,"Source of name, Coan et al. 2000",Astarte crenata,"(J. E. Gray, 1824)",Regular scientific name,not public,SBMNH,http://sbcollections.org/iz/search_advanced.php,,
Animalia,,Mollusca,,,Bivalvia,Heterodonta,,Archiheterodonta,,,,Crassatelloidea,Astartidae,,,,Astarte,,,,derjugini,,,,,,"Source of name, Kantor & Sysoev, 2005",Astarte derjugini,"(Filatova, 1957)",Regular scientific name,not public,SBMNH,http://sbcollections.org/iz/search_advanced.php,,
Animalia,,Mollusca,,,Bivalvia,Heterodonta,,Archiheterodonta,,,,Crassatelloidea,Astartidae,,,,Astarte,,,,elliptica,,,,,,"Source of name, Coan et al. 2000",Astarte elliptica,"(T. Brown, 1827)",Regular scientific name,not public,SBMNH,http://sbcollections.org/iz/search_advanced.php,,
Animalia,,Mollusca,,,Bivalvia,Heterodonta,,Archiheterodonta,,,,Crassatelloidea,Astartidae,,,,Astarte,,,,esquimalti,,,,,,"Source of name, Coan et al. 2000",Astarte esquimalti,"(Baird, 1863)",Regular scientific name,not public,SBMNH,http://sbcollections.org/iz/search_advanced.php,,
